season,pitcher_name,pitch_count,composure_plus,composure_score,walk_after_barrel,walk_after_hard_hit,walk_after_high_xba,first_ball_after_barrel,first_ball_after_hard_hit,first_ball_after_high_xba,walk_after_soft_hit,walk_after_low_xba,first_ball_after_soft_hit,first_ball_after_low_xba,hard_hit_after_walk,hard_hit_after_soft,walk_after_walk,ball_after_foul
2024,"núñez, dedniel",526,149.1,1.4488097321359603,0.0,0.05405405405405406,0.08695652173913043,0.2857142857142857,0.2972972972972973,0.17391304347826086,0.0625,0.02564102564102564,0.125,0.3076923076923077,0.2857142857142857,0.25,0.0,0.19469026548672566
2024,"daniel, davis",508,142.8,1.2627326473993141,0.0,0.021739130434782608,0.0,0.3333333333333333,0.30434782608695654,0.16129032258064516,0.038461538461538464,0.10416666666666667,0.15384615384615385,0.3333333333333333,0.0,0.4230769230769231,0.0,0.34
2024,"snider, collin",684,137.9,1.1169328302054529,0.1,0.02631578947368421,0.05714285714285714,0.5,0.2631578947368421,0.2857142857142857,0.038461538461538464,0.0,0.2692307692307692,0.21621621621621623,0.36363636363636365,0.3076923076923077,0.0,0.2814814814814815
2024,"woo, bryan",1717,135.4,1.0443500542131765,0.06666666666666667,0.04,0.08333333333333333,0.3333333333333333,0.24571428571428572,0.2619047619047619,0.024390243902439025,0.023148148148148147,0.2926829268292683,0.24537037037037038,0.3076923076923077,0.35365853658536583,0.0,0.32941176470588235
2024,"pagán, emilio",594,135.0,1.0330699357029398,0.0,0.09259259259259259,0.0,0.125,0.25925925925925924,0.25806451612903225,0.0,0.05714285714285714,0.375,0.3142857142857143,0.1111111111111111,0.1875,0.2222222222222222,0.3333333333333333
2024,"hurter, brant",645,134.6,1.0207829070002281,0.0,0.03333333333333333,0.0,0.16666666666666666,0.26666666666666666,0.20833333333333334,0.058823529411764705,0.04819277108433735,0.35294117647058826,0.3373493975903614,0.4,0.35294117647058826,0.0,0.33620689655172414
2024,"kittredge, andrew",1038,132.5,0.9590085555168137,0.0625,0.04819277108433735,0.05555555555555555,0.25,0.26506024096385544,0.2037037037037037,0.06896551724137931,0.04285714285714286,0.2413793103448276,0.3,0.3125,0.3103448275862069,0.0,0.38974358974358975
2024,"martin, chris",659,131.9,0.9416298349276188,0.0,0.02,0.04878048780487805,0.4,0.28,0.24390243902439024,0.06896551724137931,0.024390243902439025,0.27586206896551724,0.24390243902439024,0.4,0.3793103448275862,0.0,0.3680555555555556
2024,"martínez, nick",2126,131.0,0.9140406584617462,0.0,0.041884816753926704,0.032520325203252036,0.3333333333333333,0.32460732984293195,0.2682926829268293,0.01652892561983471,0.03571428571428571,0.2892561983471074,0.32589285714285715,0.30434782608695654,0.33884297520661155,0.0,0.375
2024,"estévez, carlos",837,129.9,0.8835709581186891,0.0,0.014084507042253521,0.03333333333333333,0.09090909090909091,0.23943661971830985,0.23333333333333334,0.043478260869565216,0.014925373134328358,0.391304347826087,0.2835820895522388,0.5,0.391304347826087,0.125,0.3609467455621302
2024,"lee, dylan",879,129.7,0.877758922125136,0.0,0.06896551724137931,0.027777777777777776,0.3,0.3103448275862069,0.3333333333333333,0.06451612903225806,0.0684931506849315,0.3548387096774194,0.2876712328767123,0.36363636363636365,0.16129032258064516,0.0,0.3333333333333333
2024,"jax, griffin",1072,129.5,0.8707961905039866,0.0,0.078125,0.02564102564102564,0.16666666666666666,0.296875,0.3333333333333333,0.030303030303030304,0.08955223880597014,0.18181818181818182,0.23880597014925373,0.5,0.24242424242424243,0.0625,0.37362637362637363
